Insc. Red,logr_numpredial
005.464.03.0205,"MARIA ALVES MAFRA, 505"
005.473.04.0415,"MARIA CLAUDIA ADRIANO SOARES, 123"
005.473.04.0390,"MARIA CLAUDIA ADRIANO SOARES, 93"
005.473.04.0300,"MARIA CLAUDIA ADRIANO SOARES, 80"
005.473.04.0370,"MARIA CLAUDIA ADRIANO SOARES, 73"
005.473.04.0330,"MARIA CLAUDIA ADRIANO SOARES, 50"
005.473.04.0310,"MARIA CLAUDIA ADRIANO SOARES, 70"
005.473.04.0280,"MARIA CLAUDIA ADRIANO SOARES, 100"
005.473.04.0350,"MARIA CLAUDIA ADRIANO SOARES, 53"
005.473.04.0320,"MARIA CLAUDIA ADRIANO SOARES, 60"
005.473.04.0340,"MARIA CLAUDIA ADRIANO SOARES, 43"
005.473.04.0290,"MARIA CLAUDIA ADRIANO SOARES, 90"
005.473.04.0360,"MARIA CLAUDIA ADRIANO SOARES, 63"
005.473.04.0270,"MARIA CLAUDIA ADRIANO SOARES, 110"
005.473.04.0268,"MARIA CLAUDIA ADRIANO SOARES, 120"
005.473.04.0380,"MARIA CLAUDIA ADRIANO SOARES, 83"
005.473.04.0400,"MARIA CLAUDIA ADRIANO SOARES, 103"
005.473.04.0410,"MARIA CLAUDIA ADRIANO SOARES, 113"
005.483.02.0100,"MARIA CORREIA, 50"
005.483.02.0040,"MARIA CORREIA, 12"
005.483.02.0050,"MARIA CORREIA, 20"
005.483.02.0060,"MARIA CORREIA, 30"
005.483.02.0030,"MARIA CORREIA, 4"
005.080.02.0060,"MARIA IOLANDA DA ROCHA, 66"
005.485.03.0100,"MARIA LUCIA DE AMORIM, 78"
005.485.03.0040,"MARIA LUCIA DE AMORIM, 30"
005.485.03.0110,"MARIA LUCIA DE AMORIM, 86"
005.483.03.0120,"MARIA LUCIA DE AMORIM, 5"
005.485.03.0070,"MARIA LUCIA DE AMORIM, 54"
005.484.03.0100,"MARIA LUCIA DE AMORIM, 65"
005.485.03.0010,"MARIA LUCIA DE AMORIM, 6"
005.485.03.0050,"MARIA LUCIA DE AMORIM, 38"
005.485.03.0060,"MARIA LUCIA DE AMORIM, 46"
005.485.03.0030,"MARIA LUCIA DE AMORIM, 22"
005.485.03.0080,"MARIA LUCIA DE AMORIM, 62"
005.483.03.0110,"MARIA LUCIA DE AMORIM, 13"
005.485.03.0020,"MARIA LUCIA DE AMORIM, 14"
005.485.03.0090,"MARIA LUCIA DE AMORIM, 70"
005.485.03.0120,"MARIA LUCIA DE AMORIM, 94"
005.425.01.0120,"MARIA LUIZA ETUR SILVA, 176"
005.424.03.0370,"MARIA LUIZA ETUR SILVA, 309"
005.425.01.0140,"MARIA LUIZA ETUR SILVA, 156"
005.506.03.0010,"MARIA LUIZA ETUR SILVA, 336"
005.424.03.0350,"MARIA LUIZA ETUR SILVA, 289"
005.425.01.0100,"MARIA LUIZA ETUR SILVA, 196"
005.507.01.0130,"MARIA LUIZA ETUR SILVA, 379"
005.424.03.0340,"MARIA LUIZA ETUR SILVA, 279"
005.433.03.0170,"MARIA LUIZA ETUR SILVA, 5"
005.424.03.0260,"MARIA LUIZA ETUR SILVA, 195"
005.507.01.0090,"MARIA LUIZA ETUR SILVA, 339"
005.424.03.0250,"MARIA LUIZA ETUR SILVA, 185"
005.425.01.0095,"MARIA LUIZA ETUR SILVA, 206"
005.528.01.0130,"MARIA LUIZA ETUR SILVA, 469"
005.425.01.0090,"MARIA LUIZA ETUR SILVA, 216"
005.529.03.0020,"MARIA LUIZA ETUR SILVA, 436"
005.434.01.0060,"MARIA LUIZA ETUR SILVA, 56"
005.528.01.0160,"MARIA LUIZA ETUR SILVA, 499"
005.424.03.0310,"MARIA LUIZA ETUR SILVA, 249"
005.424.03.0290,"MARIA LUIZA ETUR SILVA, 229"
005.528.01.0140,"MARIA LUIZA ETUR SILVA, 479"
005.433.03.0160,"MARIA LUIZA ETUR SILVA, 15"
005.506.03.0050,"MARIA LUIZA ETUR SILVA, 376"
005.425.01.0055,"MARIA LUIZA ETUR SILVA, 286"
005.529.03.0030,"MARIA LUIZA ETUR SILVA, 446"
005.529.03.0080,"MARIA LUIZA ETUR SILVA, 496"
005.529.03.0070,"MARIA LUIZA ETUR SILVA, 486"
005.529.03.0060,"MARIA LUIZA ETUR SILVA, 476"
005.507.01.0140,"MARIA LUIZA ETUR SILVA, 389"
005.313.02.0450,"MARIA LUIZA ETUR SILVA, 2"
005.528.01.0150,"MARIA LUIZA ETUR SILVA, 489"
005.529.03.0040,"MARIA LUIZA ETUR SILVA, 456"
005.424.03.0210,"MARIA LUIZA ETUR SILVA, 145"
005.434.01.0010,"MARIA LUIZA ETUR SILVA, 6"
005.433.03.0120,"MARIA LUIZA ETUR SILVA, 55"
005.425.01.0075,"MARIA LUIZA ETUR SILVA, 246"
005.506.03.0030,"MARIA LUIZA ETUR SILVA, 356"
005.424.03.0300,"MARIA LUIZA ETUR SILVA, 239"
005.425.01.0160,"MARIA LUIZA ETUR SILVA, 136"
005.424.03.0240,"MARIA LUIZA ETUR SILVA, 175"
005.507.01.0110,"MARIA LUIZA ETUR SILVA, 359"
005.528.01.0100,"MARIA LUIZA ETUR SILVA, 439"
005.425.01.0070,"MARIA LUIZA ETUR SILVA, 256"
005.434.01.0070,"MARIA LUIZA ETUR SILVA, 66"
005.424.03.0230,"MARIA LUIZA ETUR SILVA, 165"
005.425.01.0060,"MARIA LUIZA ETUR SILVA, 276"
005.433.03.0110,"MARIA LUIZA ETUR SILVA, 65"
005.528.01.0120,"MARIA LUIZA ETUR SILVA, 459"
005.507.01.0120,"MARIA LUIZA ETUR SILVA, 369"
005.424.03.0270,"MARIA LUIZA ETUR SILVA, 209"
005.433.03.0130,"MARIA LUIZA ETUR SILVA, 45"
005.425.01.0110,"MARIA LUIZA ETUR SILVA, 186"
005.424.03.0380,"MARIA LUIZA ETUR SILVA, 319"
005.529.03.0050,"MARIA LUIZA ETUR SILVA, 466"
005.425.01.0150,"MARIA LUIZA ETUR SILVA, 146"
005.433.03.0150,"MARIA LUIZA ETUR SILVA, 25"
005.425.01.0130,"MARIA LUIZA ETUR SILVA, 166"
005.424.03.0360,"MARIA LUIZA ETUR SILVA, 299"
005.434.01.0020,"MARIA LUIZA ETUR SILVA, 16"
005.434.01.0050,"MARIA LUIZA ETUR SILVA, 46"
005.506.03.0040,"MARIA LUIZA ETUR SILVA, 366"
005.425.01.0085,"MARIA LUIZA ETUR SILVA, 226"
005.424.03.0220,"MARIA LUIZA ETUR SILVA, 155"
005.425.01.0040,"MARIA LUIZA ETUR SILVA, 316"
005.424.03.0330,"MARIA LUIZA ETUR SILVA, 269"
005.425.01.0065,"MARIA LUIZA ETUR SILVA, 266"
005.507.01.0100,"MARIA LUIZA ETUR SILVA, 349"
005.425.01.0045,"MARIA LUIZA ETUR SILVA, 306"
005.433.03.0140,"MARIA LUIZA ETUR SILVA, 35"
005.425.01.0050,"MARIA LUIZA ETUR SILVA, 296"
005.434.01.0030,"MARIA LUIZA ETUR SILVA, 26"
005.424.03.0200,"MARIA LUIZA ETUR SILVA, 135"
005.434.01.0040,"MARIA LUIZA ETUR SILVA, 36"
005.424.03.0280,"MARIA LUIZA ETUR SILVA, 219"
005.506.03.0020,"MARIA LUIZA ETUR SILVA, 346"
005.528.01.0110,"MARIA LUIZA ETUR SILVA, 449"
005.506.03.0060,"MARIA LUIZA ETUR SILVA, 386"
005.424.03.0320,"MARIA LUIZA ETUR SILVA, 259"
005.425.01.0080,"MARIA LUIZA ETUR SILVA, 236"
005.454.01.0325,"MARIA MARQUES WERNER, 570"
005.454.01.0255,"MARIA MARQUES WERNER, 500"
005.457.01.0125,"MARIA MARQUES WERNER, 750"
005.457.01.0005,"MARIA MARQUES WERNER, 630"
005.457.01.0015,"MARIA MARQUES WERNER, 640"
005.449.04.0495,"MARIA MARQUES WERNER, 310"
005.460.02.0025,"MARIA MARQUES WERNER, 1408"
005.457.01.0085,"MARIA MARQUES WERNER, 710"
005.457.01.0025,"MARIA MARQUES WERNER, 650"
005.454.01.0285,"MARIA MARQUES WERNER, 530"
005.454.01.0295,"MARIA MARQUES WERNER, 540"
005.454.01.0345,"MARIA MARQUES WERNER, 600"
005.457.01.0075,"MARIA MARQUES WERNER, 700"
005.454.01.0365,"MARIA MARQUES WERNER, 620"
005.454.01.0235,"MARIA MARQUES WERNER, 480"
005.454.01.0335,"MARIA MARQUES WERNER, 580"
005.454.01.0225,"MARIA MARQUES WERNER, 470"
005.457.01.0045,"MARIA MARQUES WERNER, 670"
005.457.01.0035,"MARIA MARQUES WERNER, 660"
005.454.01.0245,"MARIA MARQUES WERNER, 490"
005.457.01.0145,"MARIA MARQUES WERNER, 770"
005.457.01.0135,"MARIA MARQUES WERNER, 760"
005.457.01.0055,"MARIA MARQUES WERNER, 680"
005.457.01.0175,"MARIA MARQUES WERNER, 800"
005.457.01.0185,"MARIA MARQUES WERNER, 810"
005.457.01.0195,"MARIA MARQUES WERNER, 820"
005.457.01.0140,"MARIA MARQUES WERNER, 770"
005.457.01.0155,"MARIA MARQUES WERNER, 780"
005.454.01.0215,"MARIA MARQUES WERNER, 460"
005.457.01.0095,"MARIA MARQUES WERNER, 720"
005.454.01.0305,"MARIA MARQUES WERNER, 550"
005.457.01.0105,"MARIA MARQUES WERNER, 730"
005.454.01.0315,"MARIA MARQUES WERNER, 560"
005.454.01.0205,"MARIA MARQUES WERNER, 450"
005.454.01.0275,"MARIA MARQUES WERNER, 520"
005.457.01.0115,"MARIA MARQUES WERNER, 740"
005.457.01.0165,"MARIA MARQUES WERNER, 790"
005.454.01.0355,"MARIA MARQUES WERNER, 610"
005.457.01.0065,"MARIA MARQUES WERNER, 690"
005.454.01.0340,"MARIA MARQUES WERNER, 590"
005.454.01.0265,"MARIA MARQUES WERNER, 510"
005.521.03.0060,"MARIA NUNES DA SILVA, 474"
005.521.03.0080,"MARIA NUNES DA SILVA, 494"
005.515.01.0140,"MARIA NUNES DA SILVA, 283"
005.515.01.0110,"MARIA NUNES DA SILVA, 253"
005.520.01.0110,"MARIA NUNES DA SILVA, 473"
005.520.01.0090,"MARIA NUNES DA SILVA, 453"
005.411.01.0100,"MARIA NUNES DA SILVA, 86"
005.521.03.0030,"MARIA NUNES DA SILVA, 444"
005.406.03.0260,"MARIA NUNES DA SILVA, 85"
005.406.03.0240,"MARIA NUNES DA SILVA, 65"
005.411.01.0110,"MARIA NUNES DA SILVA, 76"
005.515.01.0090,"MARIA NUNES DA SILVA, 233"
005.514.03.0060,"MARIA NUNES DA SILVA, 284"
005.515.01.0100,"MARIA NUNES DA SILVA, 243"
005.514.03.0050,"MARIA NUNES DA SILVA, 274"
005.515.01.0130,"MARIA NUNES DA SILVA, 273"
005.514.03.0040,"MARIA NUNES DA SILVA, 264"
005.514.03.0020,"MARIA NUNES DA SILVA, 244"
005.521.03.0040,"MARIA NUNES DA SILVA, 454"
005.520.01.0100,"MARIA NUNES DA SILVA, 463"
005.521.03.0050,"MARIA NUNES DA SILVA, 464"
005.515.01.0120,"MARIA NUNES DA SILVA, 263"
005.520.01.0080,"MARIA NUNES DA SILVA, 443"
005.406.03.0200,"MARIA NUNES DA SILVA, 25"
005.406.03.0250,"MARIA NUNES DA SILVA, 75"
005.514.03.0030,"MARIA NUNES DA SILVA, 254"
005.406.03.0220,"MARIA NUNES DA SILVA, 45"
005.411.01.0120,"MARIA NUNES DA SILVA, 66"
005.411.01.0130,"MARIA NUNES DA SILVA, 56"
005.521.03.0020,"MARIA NUNES DA SILVA, 434"
005.406.03.0210,"MARIA NUNES DA SILVA, 35"
005.514.03.0010,"MARIA NUNES DA SILVA, 234"
005.411.01.0160,"MARIA NUNES DA SILVA, 26"
005.521.03.0070,"MARIA NUNES DA SILVA, 484"
005.411.01.0140,"MARIA NUNES DA SILVA, 46"
005.406.03.0230,"MARIA NUNES DA SILVA, 55"
005.411.01.0150,"MARIA NUNES DA SILVA, 36"
005.493.06.0560,"MARIA ODILIA DOS SANTOS DOMINGOS, 40"
005.493.06.0500,"MARIA ODILIA DOS SANTOS DOMINGOS, 9"
005.493.06.0570,"MARIA ODILIA DOS SANTOS DOMINGOS, 32"
005.493.06.0530,"MARIA ODILIA DOS SANTOS DOMINGOS, 39"
005.493.06.0580,"MARIA ODILIA DOS SANTOS DOMINGOS, 28"
005.493.06.0520,"MARIA ODILIA DOS SANTOS DOMINGOS, 29"
005.493.06.0510,"MARIA ODILIA DOS SANTOS DOMINGOS, 19"
005.493.06.0590,"MARIA ODILIA DOS SANTOS DOMINGOS, 16"
005.493.06.0540,"MARIA ODILIA DOS SANTOS DOMINGOS, 49"
005.493.06.0550,"MARIA ODILIA DOS SANTOS DOMINGOS, 48"
005.405.01.0140,"MARIA PESSOA ESPINDOLA (D CONTINHA), 46"
005.519.02.0050,"MARIA PESSOA ESPINDOLA (D CONTINHA), 442"
005.519.02.0040,"MARIA PESSOA ESPINDOLA (D CONTINHA), 432"
005.404.03.0220,"MARIA PESSOA ESPINDOLA (D CONTINHA), 45"
005.405.01.0120,"MARIA PESSOA ESPINDOLA (D CONTINHA), 66"
005.517.01.0100,"MARIA PESSOA ESPINDOLA (D CONTINHA), 241"
005.405.01.0065,"MARIA PESSOA ESPINDOLA (D CONTINHA), 162"
005.517.01.0090,"MARIA PESSOA ESPINDOLA (D CONTINHA), 231"
005.404.03.0200,"MARIA PESSOA ESPINDOLA (D CONTINHA), 25"
005.405.01.0085,"MARIA PESSOA ESPINDOLA (D CONTINHA), 122"
005.405.01.0070,"MARIA PESSOA ESPINDOLA (D CONTINHA), 152"
005.404.03.0270,"MARIA PESSOA ESPINDOLA (D CONTINHA), 101"
005.404.03.0380,"MARIA PESSOA ESPINDOLA (D CONTINHA), 211"
005.404.03.0340,"MARIA PESSOA ESPINDOLA (D CONTINHA), 171"
005.404.03.0240,"MARIA PESSOA ESPINDOLA (D CONTINHA), 65"
005.516.03.0050,"MARIA PESSOA ESPINDOLA (D CONTINHA), 372"
005.516.03.0040,"MARIA PESSOA ESPINDOLA (D CONTINHA), 362"
005.516.03.0030,"MARIA PESSOA ESPINDOLA (D CONTINHA), 352"
005.405.01.0110,"MARIA PESSOA ESPINDOLA (D CONTINHA), 76"
005.405.01.0130,"MARIA PESSOA ESPINDOLA (D CONTINHA), 56"
005.404.03.0210,"MARIA PESSOA ESPINDOLA (D CONTINHA), 35"
005.405.01.0075,"MARIA PESSOA ESPINDOLA (D CONTINHA), 142"
005.404.03.0280,"MARIA PESSOA ESPINDOLA (D CONTINHA), 111"
005.404.03.0360,"MARIA PESSOA ESPINDOLA (D CONTINHA), 191"
005.404.03.0250,"MARIA PESSOA ESPINDOLA (D CONTINHA), 75"
005.405.01.0040,"MARIA PESSOA ESPINDOLA (D CONTINHA), 212"
005.405.01.0090,"MARIA PESSOA ESPINDOLA (D CONTINHA), 112"
005.405.01.0060,"MARIA PESSOA ESPINDOLA (D CONTINHA), 172"
005.517.01.0140,"MARIA PESSOA ESPINDOLA (D CONTINHA), 281"
005.516.03.0060,"MARIA PESSOA ESPINDOLA (D CONTINHA), 382"
005.404.03.0350,"MARIA PESSOA ESPINDOLA (D CONTINHA), 181"
005.405.01.0095,"MARIA PESSOA ESPINDOLA (D CONTINHA), 102"
005.405.01.0100,"MARIA PESSOA ESPINDOLA (D CONTINHA), 86"
005.404.03.0320,"MARIA PESSOA ESPINDOLA (D CONTINHA), 151"
005.404.03.0260,"MARIA PESSOA ESPINDOLA (D CONTINHA), 85"
005.516.03.0010,"MARIA PESSOA ESPINDOLA (D CONTINHA), 332"
005.405.01.0080,"MARIA PESSOA ESPINDOLA (D CONTINHA), 132"
005.516.03.0020,"MARIA PESSOA ESPINDOLA (D CONTINHA), 342"
005.517.01.0120,"MARIA PESSOA ESPINDOLA (D CONTINHA), 261"
005.405.01.0160,"MARIA PESSOA ESPINDOLA (D CONTINHA), 26"
005.405.01.0050,"MARIA PESSOA ESPINDOLA (D CONTINHA), 192"
005.404.03.0230,"MARIA PESSOA ESPINDOLA (D CONTINHA), 55"
005.517.01.0130,"MARIA PESSOA ESPINDOLA (D CONTINHA), 271"
005.404.03.0300,"MARIA PESSOA ESPINDOLA (D CONTINHA), 131"
005.404.03.0310,"MARIA PESSOA ESPINDOLA (D CONTINHA), 141"
005.404.03.0370,"MARIA PESSOA ESPINDOLA (D CONTINHA), 201"
005.405.01.0150,"MARIA PESSOA ESPINDOLA (D CONTINHA), 36"
005.404.03.0330,"MARIA PESSOA ESPINDOLA (D CONTINHA), 161"
005.517.01.0110,"MARIA PESSOA ESPINDOLA (D CONTINHA), 251"
005.404.03.0290,"MARIA PESSOA ESPINDOLA (D CONTINHA), 121"
005.405.01.0055,"MARIA PESSOA ESPINDOLA (D CONTINHA), 182"
005.405.01.0045,"MARIA PESSOA ESPINDOLA (D CONTINHA), 202"
005.137.02.0020,"MARIA SERAFIM DOS SANTOS, 41"
005.137.02.0015,"MARIA SERAFIM DOS SANTOS, 31"
005.137.02.0030,"MARIA SERAFIM DOS SANTOS, 53"
005.137.02.0025,"MARIA SERAFIM DOS SANTOS, 45"
005.137.02.0050,"MARIA SERAFIM DOS SANTOS, 100"
005.137.02.0035,"MARIA SERAFIM DOS SANTOS, 65"
005.137.02.0040,"MARIA SERAFIM DOS SANTOS, 77"
005.137.02.0045,"MARIA SERAFIM DOS SANTOS, 89"
005.329.01.0090,"MARIA VERENA HEIL, 337"
005.474.01.1100,"MARIA VERENA HEIL, 440"
005.342.04.0100,"MARIA VERENA HEIL, 185"
005.316.01.0030,"MARIA VERENA HEIL, 649"
005.329.01.0050,"MARIA VERENA HEIL, 385"
005.329.01.0070,"MARIA VERENA HEIL, 361"
005.316.01.0020,"MARIA VERENA HEIL, 661"
005.352.03.0300,"MARIA VERENA HEIL, 105"
005.328.01.0020,"MARIA VERENA HEIL, 601"
005.352.03.0030,"MARIA VERENA HEIL, 29"
005.328.01.0080,"MARIA VERENA HEIL, 529"
005.328.01.0110,"MARIA VERENA HEIL, S/N"
005.329.01.0060,"MARIA VERENA HEIL, 373"
005.329.01.0020,"MARIA VERENA HEIL, 421"
005.329.01.0080,"MARIA VERENA HEIL, 349"
005.329.01.0030,"MARIA VERENA HEIL, 409"
005.329.01.0100,"MARIA VERENA HEIL, 325"
005.227.02.0310,"MARIA VERENA HEIL, 913"
005.328.01.0090,"MARIA VERENA HEIL, 517"
005.352.03.0050,"MARIA VERENA HEIL, 13"
005.329.01.0010,"MARIA VERENA HEIL, 433"
005.352.03.0020,"MARIA VERENA HEIL, 37"
005.341.04.0010,"MARIA VERENA HEIL, 203"
005.328.01.0140,"MARIA VERENA HEIL, 457"
005.328.01.0040,"MARIA VERENA HEIL, 577"
005.352.03.0060,"MARIA VERENA HEIL, 5"
005.474.01.1140,"MARIA VERENA HEIL, 474"
005.339.01.0010,"MARIA VERENA HEIL, 25"
005.328.01.0050,"MARIA VERENA HEIL, 565"
005.328.01.0130,"MARIA VERENA HEIL, 469"
005.328.01.0070,"MARIA VERENA HEIL, 541"
005.328.01.0120,"MARIA VERENA HEIL, 481"
005.328.01.0030,"MARIA VERENA HEIL, 589"
005.474.01.1120,"MARIA VERENA HEIL, 452"
005.328.01.0100,"MARIA VERENA HEIL, 505"
005.474.01.1160,"MARIA VERENA HEIL, 486"
005.329.01.0040,"MARIA VERENA HEIL, 397"
005.352.03.0040,"MARIA VERENA HEIL, 21"
005.328.01.0060,"MARIA VERENA HEIL, 553"
005.329.01.0110,"MARIA VERENA HEIL, 313"
005.380.02.0100,"MARIO FERRARI, 202"
005.367.02.0040,"MARIO FERRARI, 47"
005.367.02.0030,"MARIO FERRARI, 57"
005.380.02.0080,"MARIO FERRARI, 182"
005.368.04.0130,"MARIO FERRARI, 56"
005.367.02.0060,"MARIO FERRARI, 27"
005.368.04.0120,"MARIO FERRARI, 46"
005.380.02.0110,"MARIO FERRARI, 212"
005.380.02.0090,"MARIO FERRARI, 192"
005.368.04.0110,"MARIO FERRARI, 36"
005.380.02.0120,"MARIO FERRARI, 226"
005.367.02.0050,"MARIO FERRARI, 37"
005.382.01.0030,"MARIO FERRARI, 20"
005.380.02.0060,"MARIO FERRARI, 162"
005.383.01.0030,"MARIO FERRARI, 201"
005.383.01.0010,"MARIO FERRARI, 207"
005.382.01.0020,"MARIO FERRARI, 163"
005.380.02.0040,"MARIO FERRARI, 142"
005.382.01.0010,"MARIO FERRARI, 177"
005.380.02.0070,"MARIO FERRARI, 172"
005.383.01.0020,"MARIO FERRARI, 213"
005.380.02.0050,"MARIO FERRARI, 152"
005.405.03.0250,"MAURINA CORREA VAILATTE, 75"
005.406.01.0090,"MAURINA CORREA VAILATTE, 114"
005.515.03.0060,"MAURINA CORREA VAILATTE, 284"
005.406.01.0070,"MAURINA CORREA VAILATTE, 154"
005.519.03.0080,"MAURINA CORREA VAILATTE, 453"
005.519.03.0070,"MAURINA CORREA VAILATTE, 443"
005.405.03.0370,"MAURINA CORREA VAILATTE, 203"
005.406.01.0080,"MAURINA CORREA VAILATTE, 134"
005.406.01.0040,"MAURINA CORREA VAILATTE, 214"
005.406.01.0060,"MAURINA CORREA VAILATTE, 174"
005.520.03.0050,"MAURINA CORREA VAILATTE, 452"
005.516.01.0110,"MAURINA CORREA VAILATTE, 353"
005.516.01.0140,"MAURINA CORREA VAILATTE, 383"
005.406.01.0110,"MAURINA CORREA VAILATTE, 76"
005.406.01.0130,"MAURINA CORREA VAILATTE, 56"
005.406.01.0050,"MAURINA CORREA VAILATTE, 194"
005.406.01.0075,"MAURINA CORREA VAILATTE, 144"
005.406.01.0100,"MAURINA CORREA VAILATTE, 86"
005.406.01.0120,"MAURINA CORREA VAILATTE, 66"
005.405.03.0330,"MAURINA CORREA VAILATTE, 163"
005.406.01.0095,"MAURINA CORREA VAILATTE, 104"
005.405.03.0220,"MAURINA CORREA VAILATTE, 45"
005.515.03.0020,"MAURINA CORREA VAILATTE, 244"
005.405.03.0270,"MAURINA CORREA VAILATTE, 103"
005.520.03.0070,"MAURINA CORREA VAILATTE, 472"
005.405.03.0240,"MAURINA CORREA VAILATTE, 65"
005.519.03.0060,"MAURINA CORREA VAILATTE, 433"
005.405.03.0210,"MAURINA CORREA VAILATTE, 35"
005.406.01.0150,"MAURINA CORREA VAILATTE, 36"
005.406.01.0085,"MAURINA CORREA VAILATTE, 124"
005.516.01.0090,"MAURINA CORREA VAILATTE, 333"
005.515.03.0030,"MAURINA CORREA VAILATTE, 254"
005.520.03.0060,"MAURINA CORREA VAILATTE, 462"
005.406.01.0140,"MAURINA CORREA VAILATTE, 46"
005.516.01.0130,"MAURINA CORREA VAILATTE, 373"
005.405.03.0360,"MAURINA CORREA VAILATTE, 193"
005.515.03.0040,"MAURINA CORREA VAILATTE, 264"
005.520.03.0040,"MAURINA CORREA VAILATTE, 442"
005.405.03.0320,"MAURINA CORREA VAILATTE, 153"
005.405.03.0340,"MAURINA CORREA VAILATTE, 173"
005.516.01.0120,"MAURINA CORREA VAILATTE, 363"
005.515.03.0010,"MAURINA CORREA VAILATTE, 234"
005.406.01.0055,"MAURINA CORREA VAILATTE, 184"
005.405.03.0280,"MAURINA CORREA VAILATTE, 113"
005.516.01.0100,"MAURINA CORREA VAILATTE, 343"
005.405.03.0290,"MAURINA CORREA VAILATTE, 123"
005.405.03.0260,"MAURINA CORREA VAILATTE, 85"
005.406.01.0045,"MAURINA CORREA VAILATTE, 204"
005.405.03.0310,"MAURINA CORREA VAILATTE, 143"
005.515.03.0050,"MAURINA CORREA VAILATTE, 274"
005.405.03.0200,"MAURINA CORREA VAILATTE, 25"
005.405.03.0300,"MAURINA CORREA VAILATTE, 133"
005.406.01.0160,"MAURINA CORREA VAILATTE, 26"
005.406.01.0065,"MAURINA CORREA VAILATTE, 164"
005.405.03.0350,"MAURINA CORREA VAILATTE, 183"
005.405.03.0380,"MAURINA CORREA VAILATTE, 213"
005.405.03.0230,"MAURINA CORREA VAILATTE, 55"
005.163.03.0130,"MAURO CARLOS BERTEMES, 73"
005.163.03.0120,"MAURO CARLOS BERTEMES, 87"
005.163.03.0150,"MAURO CARLOS BERTEMES, 45"
005.163.03.0140,"MAURO CARLOS BERTEMES, 59"
005.117.03.0555,"MAX HOIER, 69"
005.117.03.0420,"MAX HOIER, 40"
005.117.03.0545,"MAX HOIER, 49"
005.117.03.0600,"MAX HOIER, 89"
005.117.03.0410,"MAX HOIER, 28"
005.117.03.0560,"MAX HOIER, 79"
005.117.03.0540,"MAX HOIER, 35"
005.117.03.0450,"MAX HOIER, 76"
005.117.03.0550,"MAX HOIER, 59"
005.117.03.0440,"MAX HOIER, 64"
005.117.03.0430,"MAX HOIER, 52"
005.374.02.0080,"MILTON JAQUES, 146"
005.374.02.0100,"MILTON JAQUES, 166"
005.375.03.0270,"MILTON JAQUES, 115"
005.375.03.0240,"MILTON JAQUES, 145"
005.374.02.0110,"MILTON JAQUES, 176"
005.374.02.0120,"MILTON JAQUES, 186"
005.374.02.0130,"MILTON JAQUES, 196"
005.374.02.0150,"MILTON JAQUES, 216"
005.374.02.0050,"MILTON JAQUES, 116"
005.374.02.0090,"MILTON JAQUES, 156"
005.375.03.0260,"MILTON JAQUES, 125"
005.375.03.0200,"MILTON JAQUES, 185"
005.375.03.0220,"MILTON JAQUES, 165"
005.375.03.0170,"MILTON JAQUES, 215"
005.375.03.0230,"MILTON JAQUES, 155"
005.374.02.0040,"MILTON JAQUES, 106"
005.375.03.0250,"MILTON JAQUES, 135"
005.375.03.0180,"MILTON JAQUES, 205"
005.375.03.0190,"MILTON JAQUES, 195"
005.375.03.0210,"MILTON JAQUES, 175"
005.375.03.0160,"MILTON JAQUES, 229"
005.374.02.0160,"MILTON JAQUES, 230"
005.374.02.0060,"MILTON JAQUES, 126"
005.374.02.0070,"MILTON JAQUES, 136"
005.374.02.0140,"MILTON JAQUES, 206"
005.446.01.0140,"MINELVINO MANOEL GONCALVES, 396"
005.445.03.0315,"MINELVINO MANOEL GONCALVES, 267"
005.445.03.0375,"MINELVINO MANOEL GONCALVES, 327"
005.185.05.0260,"MINELVINO MANOEL GONCALVES, 24"
005.186.03.0015,"MINELVINO MANOEL GONCALVES, 225"
005.186.03.0098,"MINELVINO MANOEL GONCALVES, 125"
005.445.03.0335,"MINELVINO MANOEL GONCALVES, 287"
005.186.03.0025,"MINELVINO MANOEL GONCALVES, 215"
005.186.03.0090,"MINELVINO MANOEL GONCALVES, 145"
005.445.03.0415,"MINELVINO MANOEL GONCALVES, 367"
005.446.01.0040,"MINELVINO MANOEL GONCALVES, 296"
005.446.01.0020,"MINELVINO MANOEL GONCALVES, 276"
005.446.01.0030,"MINELVINO MANOEL GONCALVES, 286"
005.186.03.0100,"MINELVINO MANOEL GONCALVES, 115"
005.446.01.0080,"MINELVINO MANOEL GONCALVES, 336"
005.446.01.0170,"MINELVINO MANOEL GONCALVES, 426"
005.459.01.0010,"MINELVINO MANOEL GONCALVES, 496"
005.459.01.0070,"MINELVINO MANOEL GONCALVES, 556"
005.458.01.0285,"MINELVINO MANOEL GONCALVES, 577"
005.458.01.0215,"MINELVINO MANOEL GONCALVES, 507"
005.458.01.0235,"MINELVINO MANOEL GONCALVES, 527"
005.458.01.0255,"MINELVINO MANOEL GONCALVES, 547"
005.458.01.0265,"MINELVINO MANOEL GONCALVES, 557"
005.458.01.0295,"MINELVINO MANOEL GONCALVES, 587"
005.458.01.0305,"MINELVINO MANOEL GONCALVES, 597"
005.458.01.0325,"MINELVINO MANOEL GONCALVES, 617"
005.445.03.0445,"MINELVINO MANOEL GONCALVES, 397"
005.459.01.0050,"MINELVINO MANOEL GONCALVES, 536"
005.459.01.0030,"MINELVINO MANOEL GONCALVES, 516"
005.459.01.0080,"MINELVINO MANOEL GONCALVES, 566"
